"","ID","Gender","Certificate","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q27_10","Q27_11","Q27_12","Q27_13","Q27_14","Q27_15"
"414","4763","Female","IB","4","3: Somewhat true","5: Very true","5: Very true","4","2","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","2","1: Not at all true","3: Somewhat true","4","3: Somewhat true"
"415","4768","Male","IB","4","5: Very true","4","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","2","2","4","3: Somewhat true","4","3: Somewhat true","4"
"416","4773","Male","IB","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","5: Very true","3: Somewhat true","4"
"417","4765","Female","IB","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true"
"418","4763","Female","IB","3: Somewhat true","5: Very true","3: Somewhat true","4","3: Somewhat true","3: Somewhat true","2","2","2","4","4","5: Very true","5: Very true","3: Somewhat true","2"
"419","4770","Female","IB","5: Very true","4","5: Very true","5: Very true","5: Very true","3: Somewhat true","2","2","1: Not at all true","3: Somewhat true","2","1: Not at all true","2","3: Somewhat true","5: Very true"
"420","4775","Female","IB","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","3: Somewhat true","1: Not at all true","1: Not at all true","4"
"421","4769","Male","IB","5: Very true","5: Very true","4","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","4","3: Somewhat true","5: Very true","1: Not at all true","4","4","4"
"422","4771","Female","IB","5: Very true","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4","1: Not at all true","5: Very true","5: Very true","2"
"423","4740","Male","National","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true"
"424","4824","Male","IB","2","3: Somewhat true","5: Very true","5: Very true","4","2","3: Somewhat true","3: Somewhat true","","2","4","4","3: Somewhat true","4","4"
"425","4816","Male","IB","4","4","4","4","4","4","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true"
"426","4820","Male","IB","5: Very true","5: Very true","3: Somewhat true","4","3: Somewhat true","2","5: Very true","3: Somewhat true","2","2","3: Somewhat true","2","2","3: Somewhat true","3: Somewhat true"
"427","4817","Male","IB","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true"
"428","4824","Male","IB","4","5: Very true","5: Very true","5: Very true","3: Somewhat true","5: Very true","5: Very true","4","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","4"
"429","4815","Male","IB","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","2","4","4","4","5: Very true","4","5: Very true","5: Very true","5: Very true"
"430","4825","Male","IB","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","4","1: Not at all true","5: Very true","3: Somewhat true","4"
"431","4819","Male","IB","5: Very true","5: Very true","4","5: Very true","5: Very true","4","3: Somewhat true","3: Somewhat true","4","3: Somewhat true","5: Very true","2","5: Very true","5: Very true","5: Very true"
